files,329,331
vang,1,49
lượt,3,16
rướn,0,18
bịt_mắt,0,12
hối_tiếc,11,0
tài_chính,13,0
nuôi,13,0
hormone,25,0
tột_độ,0,20
bí_ẩn,11,3
thằng,14,542
làn,4,24
làm,834,1025
con_thu,0,79
thay_thế,7,5
điều_kiện,35,5
lạc_quan,11,0
điển_hình,10,0
khỏi,75,184
ông_bà,24,7
vội_vã,9,22
khỏe,4,13
hoà,1,11
mỏi,2,17
nằm,38,444
băng,2,13
lớn_tuổi,29,3
liêm,0,92
cảnh,17,47
như_là,16,26
may_mắn,23,2
van_xin,2,11
tâm_lý,127,2
lướt,3,9
hoa,42,61
khuôn_mặt,10,49
áo_lót,7,15
quá_trình,58,1
ngực,42,183
ngựa,4,33
niêm_mạc,10,0
sàng,0,19
dành,203,10
nảy_nở,1,9
ý_chí,19,0
nhỏ_con,8,2
rõ,95,57
tuýp,10,3
đèn_đỏ,20,0
rú,0,37
sức,29,61
rà,0,50
râ,11,0
khác_biệt,44,3
thanh_niên,2,12
đối_diện,18,5
phản_ứng,20,18
dương_vật,99,266
hét,0,18
phạch,0,56
động_tác,6,29
vỡ,14,15
vợ,195,307
vụ,8,7
đồng_hành,13,0
kiên_nhẫn,15,2
chừng,4,56
đung_đưa,0,15
kích_thích,63,87
vị,7,20
xin,95,34
vỏ,10,1
hoàn_thành,10,2
vỗ,0,15
tức,11,27
phủ,6,19
phụ,34,8
ổn,8,2
vẻ,42,33
vẽ,4,11
treo,2,8
một_tí,5,11
cụ,3,12
cọ,0,58
cuộc_sống,251,5
cớ,12,1
cở,0,12
cố,30,92
cổ,24,88
trở_về,20,12
háo_hức,6,12
danh_sách,12,1
quần_jean,6,10
phối_hợp,5,6
rĩ,0,35
mệt_mỏi,27,15
mãi_mãi,15,2
cậu,82,78
nén,4,8
tiến,35,52
tiết,40,13
tiếp,33,79
nét,18,10
xứng_đáng,11,0
ân_ái,13,20
chồng,135,158
thành_công,28,5
đục,3,23
melissa,0,10
bất_thường,19,1
tay_cầm,1,19
nghề_nghiệp,10,2
tình_cảnh,10,1
lâu,77,155
lây,12,3
mãn_nguyện,2,13
lâm,6,66
liên_quan,55,3
quan_trọng,162,12
nát,0,13
hoang,4,7
xuất,13,61
tin_tưởng,54,3
đam_mê,14,10
vô_thức,0,12
cố_gắng,127,46
dây_thần_kinh,9,6
tháng,151,20
mọi,315,55
mọc,11,10
cục,6,40
nói_chuyện,89,14
sinh_hoạt,16,1
tung,10,39
lợi,7,223
trôi,8,22
hai,608,1651
ham,9,23
hay,705,122
nghỉ_ngơi,10,4
ưỡn,0,82
bệnh_lý,17,0
thì_sao,10,10
ra_lệnh,1,9
trả,67,16
hẹn,44,6
khít,2,37
trọ,9,2
trễ,10,2
trở,4,6
xinh_đẹp,11,29
từ_từ,7,157
trừ,11,5
thâm_nhập,6,4
cuốn_hút,13,1
khó,161,29
khô,34,24
sáng_tạo,18,0
khí,0,156
khá,86,47
luộm_thuộm,9,1
tiến_sĩ,23,0
hụt_hẫng,12,0
cung_cấp,16,0
chơi,100,142
biện_pháp,77,0
đắm_đuối,2,11
teo,1,10
khách_sạn,6,6
khả_năng,118,4
khu,8,2
tiê,38,0
kho,11,0
kha,11,0
đảo,1,12
khe,1,168
đéo,0,11
coi_chừng,5,8
giai_đoạn,50,7
phẩm_chất,15,0
vượt_rào,22,0
ẩm_ướt,4,14
tội,12,17
um,0,52
đánh,38,66
đáng,112,17
tổn_thương,42,0
dễ_dàng,64,36
hai_mươi,3,8
lòng,131,47
nệm,3,31
kiềm_chế,18,3
nguyên,10,37
sư,19,3
sơ,9,3
bự,1,13
bể,2,10
bỏ,85,102
bị,539,341
bố,21,51
bồ,12,17
bờ,5,44
lấp,7,5
lấy,154,728
ba,116,126
nhét,2,50
giao_tiếp,31,0
trứng,89,11
nước,62,390
cắm,0,37
cắn,5,92
hoan_lạc,0,14
liên_hồi,0,30
cà_phê,9,4
dễ_thương,14,10
chọn_lựa,21,1
liên_tục,30,114
đánh_giá,44,0
cứ_thế,8,57
xuyên,4,16
vượt,93,3
thừa_nhận,21,0
người_làm,6,7
quì,0,20
quán,17,1
tháo,6,20
tuyệt_vời,34,40
stress,15,0
sa,8,3
se,12,1
mịn,0,32
ướt_đẫm,0,15
cánh,32,18
cứng_ngắc,0,54
tồn_tại,27,0
nằm_xuống,0,76
lửa,11,21
bao_cao_su,90,16
phản_đối,55,8
thụ_tinh,18,1
cảm_xúc,109,9
một_mặt,9,1
món,43,13
tự_hào,13,4
mà_lại,11,15
yên,9,35
yêu,934,127
ong,0,11
cuồng_loạn,0,12
uốn_éo,0,13
xưng_hô,6,5
chị_em,55,86
sửa,9,6
rời,30,52
tập,27,8
kích,0,12
tận,16,45
sai,36,8
vật_chất,17,0
hẹn_hò,81,0
nhổm,0,14
người_tình,15,40
số,69,19
chú_tâm,9,1
thứ_hai,21,15
phim,40,37
sở_hữu,19,2
tụi,15,25
đạp,2,13
chụp,1,37
chục,11,12
đạo,22,3
tụt,3,22
yên_tâm,18,12
rào_cản,10,1
tự_nhiên,55,36
gian,7,10
kế_hoạch,21,10
chung_sống,14,0
ốm,7,3
giày,13,1
giấu,20,3
giàu,13,10
giấy,13,10
hài_lòng,29,7
bền_vững,20,0
lên_tiếng,5,6
thăng_hoa,13,1
chúng_em,52,6
chức_năng,22,0
bắt_đầu,90,187
ý_kiến,40,4
sấp,0,43
đầy_đặn,1,15
mang,159,49
băn_khoăn,30,2
lần,366,473
lầm,27,2
lầu,0,11
thứ_tư,7,3
chân_tình,12,0
cạo,1,39
yêu_thích,28,3
ngưỡng_mộ,8,2
níu,6,4
hết_sức,27,26
tài_tình,0,12
học,137,32
trạng_thái,23,11
trái_tim,93,10
cư_xử,15,0
đứa,152,99
đức,10,0
đứt,13,5
dùm,1,10
duy_trì,46,0
chiều_chuộng,14,2
nói_nhỏ,0,14
bă,10,0
phiên,1,16
ngon,9,50
vội,6,85
kể_cả,14,12
thư_giãn,10,2
đáp_ứng,18,6
tiêu_cực,26,0
đúc_kết,11,0
hứng_thú,8,11
nhóp_nhép,0,13
tờ,8,13
mỉm,7,64
tớ,77,0
nách,2,14
tổ,5,5
